id	feladat	nehezseg
1	Árnyék **	
2	Autópálya ***	
3	Bekerítő háromszög **	
4	Csomópontok **	
5	Épület *	
6	Épület kerülete ***	
7	Fák kivágása **	
8	Futárok *	
9	Háromszög **	
10	Háromszög kerítés ***	
11	Házak **	
12	Hegy ***	
13	Kerítés ***	
14	Lámpák **	
15	Lefedő egyenesek **	
16	Négyszög alakú terület **	
17	Park *	
18	Poligon **	
19	Poligonok metszése ***	
20	Szoborpark ***	
21	Telek *	
22	Terv **	
23	Vágás *	
24	Zárt poligon készítése **	
25	Épület belső udvarai ***	
26	Facsemeték bekerítése ***	
27	Háromszög **	
28	Oszlopok *	
30	Elválasztó egyenes ****	
31	Pontok poligonban ****	
32	Négyzetek ***	
33	Repterek ***	
34	Épület ***	
35	Autópálya ****	
36	Poligon	
37	Négyszög	
38	Szuperhuszár	
39	Facsemete	
40	Konvex négyszög	
41	Bekerítés konvex négyszöggel	
