id	feladat	(nehezseg)
1	Állatkert *	
2	Bandák *	
3	Baráti lánc *	
4	Barátok *	
5	Csapatverseny *	
6	Csoportok *	
7	Ember *	
8	Falu *	
9	Falvak *	
10	Hálózat átmérője *	
11	Hálózat központja *	
12	Hír a legtöbb tanulónak *	
13	Hírek *	
14	Hírek visszaérése *	
15	Hírlánc *	
16	Ismerősök *	
17	Ismerősök2 *	
18	Kockavilág *	
19	Konténer rendezés *	
20	Legelszigeteltebb falu *	
21	Legnagyobb átviteli sebesség *	
22	Mikulás *	
23	Régiók *	
24	Rémhír *	
25	Szállítás *	
26	Telephely *	
27	Város *	
28	Körutak	
29	Legnépszerűbb tagok	
