id	feladat	nehezseg
1	Állatkert **	
2	Arany *	
3	Családfa *	
4	Építkezés *	
5	Építkezési terv *	
6	Folyón átkelés *	
7	Kredit *	
8	Mingrel *	
9	Minimális házépítési idő **	
10	Munkasorrend **	
11	Pontpárok közötti távolság *	
12	Repülőút *	
13	Síelő *	
14	Túra **	
15	Utak száma *	
16	Építkezés **	
17	Szabadtéri állatkert ***	
18	Építkezés kevés munkással ****	
19	Akadálypálya	
20	Akadálypálya tervezés	
21	Házépítés	
22	Hálózat központja *	
23	Vasútvonal leghamarabb érkezéssel	
24	Vasútvonal leghamarabb érkezés legkésőbbi indulással	
