id	feladat	(nehezseg)
1	2x2-es robot ***	
2	6x6-os solitaire **	
3	80 nap alatt a Föld körül ***	
4	Ádám és Éva *	
5	Adott ponton átmenő legrövidebb kör **	
6	Akadálypálya ***	
7	Állatkert ***	
8	Anyagmozgató robot ***	
9	Autók ***	
10	Bolha **	
11	Csapat *	
12	Csatorna ***	
13	Csoport ***	
14	Egér és macska	
15	Falak ***	
16	Falvakban üzletek **	
17	Futár *	
18	Futó a sakktáblán **	
19	Gráf színező verseny **	
20	Hálózat átmérője *	
21	Hatszög ***	
22	Kanyarodó villamos ***	
23	Karaván **	
24	Két Mérőkanna *	
25	Kommandó ***	
26	Körút ***	
27	Labirintus **	
28	Mérőkannák *	
29	Modul **	
30	Mozi ***	
31	Nincs kimérhető tej *	
32	Összefüggő hálózat *	
33	Pontok gráfon ***	
34	Raktár *	
35	Randi *	
36	Robotváros ***	
37	Robotverseny ***	
38	Senki nem ismer senkit *	
39	Solitaire **	
40	Számítógépes hálózat ***	
41	Sziget ***	
42	Szójáték **	
43	Szolga ***	
44	Szögletes villamos ***	
45	Találka *	
46	Találka2 *	
47	Tárcsás játék ***	
48	Tejeskanna ***	
49	Tejkimérés négy kannával *	
50	Térkép ***	
51	Utcák behajtani tilos táblákkal ***	
52	Utcák kötelező haladási irány táblákkal ***	
53	Városok ***	
54	Vasút ***	
55	Bolha ***	
56	Tiltott városok 2 **	
57	Tiltott városok 3 **	
58	Ügynök útja ***	
59	Cukrászok ***	
60	Labor ***	
