id	feladat	nehezseg
1	Az átlag kisebb a minimum és maximum átlagánál	
2	Átlagosan legmelegebb település	
3	Települések átlagosnál több melegebb nappal	
4	Hamarabb kezdődik a felmelegedés	
5	Előző napnál hűvösebb napok	
6	Leghűvösebb települések legmelegebb napjai	
7	Legkisebb ingadozású települések	
8	Legmelegebb napok	
9	Legmelegebb települések	
10	Legmelegebb települések leghidegebb napjai	
11	Legszélsőségesebb települések	
12	Legtöbb helyen maximális hőmérsékletű napok	
13	Legtöbbször legmelegebb települések	
14	Legváltozatosabb települések	
15	Legváltozóbb települések	
16	Sem maximum, sem minimum	
17	Fagyos napok száma szerinti sorrend	
18	Napi maximumok száma szerinti sorrend	
19	Az átlagnál melegebb napok száma szerinti sorrend	
20	Minden településen melegebb van	
21	Mindenhol meleg napok	
22	Mindig fagyos települések	
23	Másnál melegebb település	
24	Minden nap meleg települések	
25	Másnál melegebb nap	
26	Nagy változású települések	
27	Sokáig hidegebbé váló települések	
28	Sokáig melegebbé váló települések	
29	Sokáig meleg települések	
30	Sok településen meleg napok	
31	Nagyon hideg település	
32	Települések átlag szerinti sorrendje	
33	A települések legalább felében melegedő napok	
34	Kis maximumú település	
35	Nagyon meleg település	
36	Település valamikor minimális hőmérséklettel	
37	Település valamikor maximális hőmérséklettel	
