id	feladat	nehezseg
1	Személyazonositó jel - 2004. május	
2	Lotto - 2005. majus	
3	Vigenere tabla - 2005. oktober	
4	Telefonszámla - 2006. február	
5	Fehérje - 2006. május	
6	2006_május_angol kidolgozás alatt	
7	Zenei adók - 2006. november	
8	SMS Szavak - 2007. május	
9	kidolgozás alatt	
10	Foci - 2007. november	
11	SMS - 2008. május	
12	kidolgozás alatt	
13	Robot - 2008. október	
14	Lift - 2009. május	
15	Automata - 2009. május angol	
16	Útépítés - 2009. október	
17	Helyjegy - 2010. majus	
18	Telek - 2010. május angol	
19	Anagramma- 2010. október	
20	Szójáték - 2011. május	
21	Rejtvény- 2011. május angol	
22	Pitypang - 2011. október	
23	Futár - 2012. május	
25	Szín-kép 2012. október	
26	kidolgozás alatt	
27	Választások - 2013 május	
28	Számok- 2013. május angol	
29	Kozúti ellenőrzés - 2013. október	
30	kidolgozás alatt	
31	IPv6 - 2014. május	
32	kidolgozás alatt	
33	Céllövészet - 2014. május angol	
34	Expedíció - 2015. május	
35	Latin tanc - 2015. majus	
36	Fej vagy írás - 2015. október	
37	kidolgozás alatt	
38	Otszaz - 2016. majus	
39	Zár - 2016. május	
40	Telefonos ügyfélszolgálat - 2016. október	
41	kidolgozás alatt	
42	Tesztverseny - 2017. majus	
43	Furdo - 2017. majus	
