id	feladat	(nehezseg)
1	Ahol a madár se jár *	
2	Egy átlagosan legkedveltebb helység *	
3	Együtt előforduló madárfajok *	
4	Elterjedt madárfajok száma *	
5	Gyakori madárfaj *	
6	Helységek csupa máshol is előforduló madárfajjal *	
7	Helységek egyedi madárral *	
8	Helységek egyféle madárral *	
9	Helységek mindenféle madárral *	
10	Helységek minimális madárszámmal *	
11	Helységek több mint 90%-ban egyféle madárral *	
12	Legegyenletesebben előforduló madárfaj *	
13	Legnagyobb ingadozással előforduló madárfaj *	
14	Madárfaj alkalmi társfaja? *	
15	Madárfajok állandó társfajai *	
16	Madárfajok egyedei több mint 90%-ban egy helységben *	
17	Magának való madárfaj *	
18	Maximális egyedszámú helységek *	
19	Maximális madárszámú helység *	
20	Mindenhol előforduló madárfajok *	
21	Mindenhol legalább annyi van az egyikből, mint a másikból? *	
22	Minimális madárfajszámú helység *	
23	Ritka madárfaj *	
24	Volt helység mindenféle madárral? *	
25	Volt maximális helység? *	
26	Volt maximális madárfaj? *	
27	Volt ritka madárfaj? *	
