id	feladat	(nehezseg)
1	ABC Ládapakolás *	
2	Alkatrészgyártás ***	
3	Alkatrészt gyűjtő robot **	
4	Asztalok ***	
5	Autó *	
6	Bíróság büntetéssel ***	
7	Dominó ***	
8	Fadöntés ***	
9	Fénykép **	
10	Fényképész a rendezvényen ***	
11	Fényképész-menetek ***	
12	Gépek **	
13	Hangosítás ***	
14	Hegy ***	
15	Intervallumok ***	
16	Kemping **	
17	Koncert ***	
18	Konténer ***	
19	Konténeroszlopok **	
20	Ládák balról jobbra **	
21	Ládapakolás ***	
22	Ládapakolás egymásba **	
23	Lefedés ***	
24	Legnagyobb hasznú munkák ***	
25	Legtöbb vírus ***	
26	Lift-menetek ***	
27	Mekk Elek **	
28	Mekk Elek munkái **	
29	Minél több fénykép ***	
30	Minibusz ***	
31	Mozi ***	
32	Munkák **	
33	Olimpiai láng ***	
34	Olimpipai staféta	
35	Páros fotózás ***	
36	Rendezvény **	
37	Rúd darabolás *	
38	Sejtek ***	
39	Strázsa ***	
40	Számok intervallumba ***	
41	Szemtanúk ***	
42	Szilveszteri tévézés **	
43	Termek **	
44	Tópart ***	
45	Ütemezés ***	
46	Vasút *	
47	Vendégség **	
48	Vizirendőr **	
49	WiFi **	
50	Zenekar **	
51	Alvállalkozó *	
52	Beruházás **	
53	Hegymászó táborok ***	
54	Csoportképek ***	
55	Hegymászó **	
56	Minimális tankolás szám *	
57	Ütemezés ***	
58	Múzeum ***	
59	Konténer pakolás ***	
60	Konténer átpakolás ***	
61	Asztalok **	
62	Munkagépek	
63	Csapatépítés	
64	Tanúk	
