id	feladat	nehezseg
1	A nap mikor nem volt kapás *	
2	Azonos évben születtek *	
3	Azonos pont egymás mellett *	
4	Első öt év alatt végzett hallgató *	
5	Feleltetés *	
6	Gyorsabb vonat az előzőnél *	
7	Képek *	
8	Két azonos figurájú lap *	
9	Két azonos színű lap *	
10	Korcsolyázós nap a Balatonon *	
11	Lehűlés napja *	
12	Memóriajáték *	
13	Metró átszállás ***	
14	Műhold *	
15	Olcsó fenyőfa *	
16	Őr nélküli nap a múzeumban *	
17	Sípálya ahol vastag a hó *	
18	Székesfehérvári vonat *	
19	Szövegkereső **	
20	Végállomás Fonyód előtt *	
21	Csökkenő benzin **	
22	Jegy a határon **	
23	Nagy és drága lakás *	
24	Utolsó sikeres dobás *	
25	Utolsó világcsúcsmentes év *	
