id	feladat	(nehezseg)
1	Adott generációban kiadott konzolok *	
2	Állatevő állatok **	
3	Arányokban drága utazások *	
4	Díjazottak *	
5	Drága fenyőfák *	
6	Drága lakások *	
7	Egyszerre nagy mennyiségben megvett teák *	
8	Elrendelt szmogriadók *	
9	Első osztályú futók *	
10	Érettségi *	
11	Esemény nélküli kategória *	
12	Fiatal dolgozók *	
13	Fiatal dolgozók *	
14	Gyors vonatok *	
15	Időintervallumok amikor a halózat használatban van *	
16	Legalább hármast kapott tanulók ***	
17	Legkevesebb könyv *	
18	Magánhangzók **	
19	Mássalhangzók *	
20	Melegebb napok a Balatonon *	
21	Mindig jó helyezést elért vitorlások *	
22	Napok amikor fagy és olvadás is van *	
23	Nem verekedő madarak *	
24	Névnapok *	
25	Névnapok 2 *	
26	Növényevő állatok ***	
27	Síelésre alkalmatlan sípályák *	
28	Sikertelen napok *	
29	Születési évek *	
30	Települések Piripócshoz közel Kukutyintól távol *	
31	Utasszámlálás *	
32	Helyből bukott *	
33	Nagy és olcsó lakások *	
34	Nem érte meg a leértékelés *	
35	Növekvő csapadékmennyiségű hetek **	
36	Pót zárthelyi *	
