id	feladat	nehezseg
1	Állatértékesítés *	
2	Balaton befagyott napjainak száma *	
3	Bináris alak 1-esei *	
4	Délben bankban lévő ügyfelek száma *	
5	Esős napok száma *	
6	Fagyos napok száma *	
7	Fagyos napok száma az előrejelzésben *	
8	Futamok száma *	
9	Idős és alacsony fizetésűek száma	
10	Idősebb emberek száma *	
11	Ismétlődők *	
12	Járművek száma adott időintervallumban *	
13	Javított futóeredmények száma *	
14	Jegyek *	
15	Jelenlévők *	
16	Két évszám közötti események száma *	
17	Kétszer lefényképezett terület műholddal *	
18	Kissé szeles napok száma *	
19	Közös territóriummal rendelkező madarak *	
20	Kukutyinhoz közelebb lévő települések száma *	
22	Leghosszabb szakaszok *	
23	Légszennyezettségmérő javításainak száma *	
24	Meleg napok száma *	
25	Múzeum szolgálatában lévő őrök száma napi leosztásban *	
26	Nagy hőingadozású napok száma *	
27	Nyelvórán egyesek száma *	
28	Olcsó és egyben nagy lakások száma *	
29	Órát tartó tanárok száma naponként *	
30	Őrzött falak száma *	
31	Őrzött szakaszok száma a Kínai Nagy Falon *	
32	Összes játékkonzol száma *	
33	Összes műholddal lefényképezett terület *	
34	Romló légszennyeződési értékek *	
35	Sötétben maradt helyek *	
36	Szabadnapos tanárok száma *	
37	Számpárok száma *	
38	Szélcsendes napok száma *	
39	Tejárak *	
40	Teljes útfelújítás *	
41	Tervbe betehető szobák száma *	
42	Tervbe nem tartozó falszakaszok száma égtájanként *	
43	Több konzolt kiadó gyártó *	
44	Többször ugyanott rendezett környezetvédelmi világnapok *	
45	Ugró értékek *	
46	Utas nélküli állomásszakaszok száma *	
47	Védett falak száma *	
48	Védett szakaszok száma a Kínai Nagy Falon *	
49	Végzettek születési dátumai évszakokra lebontva *	
50	Viharos napok száma *	
51	Olimpiai kvalifikáció indulók száma *	
52	Lakás kategóriák **	
53	Sikeres dobások száma *	
54	Személyi számok **	
55	Világcsúcs beállítások száma *	
56	Világcsúcsok közötti legnagyobb időkülönbség *	
57	Turistaház	
58	Vitorlásverseny	
59	Rendezőpályaudvar	
60	Hajók	
61	Földrengések	
62	Visszhang	
63	Csoportképek	
64	Csoportképek	
65	Véletlenszám ellenőrzés	
66	Pontozásos verseny	
67	Szerencsés napok	
68	Versenyeredmények	
69	Dinnyeárus	
70	Ismétlődő karakterek részsorozatban	
