id	feladat	nehezseg
1	Előrejelzések maximuma legnagyobb *	
2	Gyanús hőmérsékletek *	
3	Legdrágább lakás *	
4	Legfiatalabban végzett hallgató *	
5	Leghidegebb hőmérséklet a Balatonon *	
6	Leghidegebb nap *	
7	Leghosszabb intervallum mikor senki sem közlekedett *	
8	Legidősebb dolgozó *	
9	Legidősebb ember *	
10	Legjobb idejű futóverseny eredmény helyezése *	
11	Legkisebb bortermésű év *	
12	Legkisebb különbség a min es max hőmérséklet között *	
13	Legkorábbi környezetvédelmi világnap *	
14	Legközelebbi események *	
15	Legmelegebb nap *	
16	Legmesszebbi település Kukutyintól *	
17	Legnagyobb hórétegű sípálya *	
18	Legnagyobb hőmérsékletváltozás két nap között *	
19	Legnagyobb különbség a min es max hőmérséklet között *	
20	Legnagyobb lélekszámú helység a Kihívás napján *	
21	Legnagyobb mennyiségű teavásárlás *	
22	Legnagyobb mértékben nőtt légszennyeződés *	
23	Legrövidebb útfelújítás *	
24	Legszennyezettebb nap *	
25	Legtöbb eső-egy-nap *	
26	Legtöbb megfigyelt jármű egy helyen *	
27	Legtöbbször lefényképezett terület műholdról *	
28	Legvastagabb jég a Balatonon *	
30	Maximális egyedszámú helységek *	
31	Maximális utasszám a villamoson *	
32	Múzeumban leghosszabb ideig szolgálatban lévő őr *	
33	Utazási iroda legtávolabbi városa *	
34	Legnagyobb hőmérséklet eltérés *	
35	Földrengések *	
36	Ideális lakás **	
37	Kalapácsvető verseny győztese ***	
38	Legcsapadékosabb hét **	
39	Rendezvénysorozat legelfoglaltabb napja **	
40	Legnagyobb dobások *	
41	Üzemanyag tartály mérete *	
42	Legnagyobb haszon *	
43	Távoli bolygó	
44	Szobafoglalások	
45	Autópálya	
46	Születések	
47	Autópálya	
48	Napszámosok	
49	Osztályzatok	
50	Kihalt állatok	
51	Születésnapok	
52	Sikertelen napok	
53	Sikeres sorozatok	
54	Játékállások	
55	Fogadások	
56	Vizsga	
57	Maximális növekedés	
58	Hideg és meleg napok	
59	Ügyelet	
60	Földrengések	
61	Két csoportra osztás	
62	Rövid földrengések	
63	Határőrök	
64	Földrengésmentes időszak	
65	Közeli legmelegebb nap	
