id	feladat	nehezseg
1	Felvételi *	
2	Futók *	
3	Futóverseny *	
4	Gazda szilvafái *	
5	Inverz orgonasíp elrendezés *	
6	Kalapácsvető verseny *	
7	Kalapácsvető verseny selejtezője *	
8	Legolcsóbb almák *	
9	Magasugró verseny **	
10	Mozgat *	
11	OKTV *	
12	Olimpia *	
13	Orgonasíp elrendezés *	
14	Párosítás *	
15	Ütemez *	
16	Üvegválogatás *	
17	Hallgató felező *	
18	Hallgatók sorrendje **	
19	Legnagyobb lakások *	
20	Magasugró verseny ***	
21	Olimpiára kijutó versenyzők ***	
22	Termékhasznok **	
23	Tó körüli települések	
24	Programozási verseny	
25	Konténerek rendezése	
26	Kavicsok	
27	Kavicsok 1	
28	Kavicsok 2	
29	Kavicsok 3	
30	Kavicsok 4	
31	Konténerek rendezése	
32	Sok csoportra osztás	
33	Világranglista	
