id	feladat	(nehezseg)
1	Első teaforgalmazó összes eladott mennyisége *	
2	Horgászverseny - halfajták mennyisége *	
3	Horgászverseny - horgász halai *	
4	Lakosságszám *	
5	Legnagyobb térfogat *	
6	Menetrend *	
7	Nyersanyagköltség *	
8	Összes esőzés mennyisége *	
9	Összes utas száma a villamoson *	
10	Összterület *	
11	Összterület négyzetekkel *	
12	Összterület téglalapokkal *	
13	Pénzfelvételek összege *	
14	Sikertelen napokon fogott halak száma *	
15	Tervbe nem tartozó falak összhossza *	
16	Benzinmaradék **	
17	Foglalt napok száma **	
18	Heti eső mennyisége *	
19	Olimpiai kvalifikáció összpontszáma ***	
20	Leértékelés haszna ***	
