id	feladat	nehezseg
1	Adott intervallumban rendezett környezetvédelmi világnapok helyszínei *	
2	Árból egyértelműen következtethető utazások *	
3	Átlag feletti légszennyezettségek *	
4	Egész héten helyettesíteni tudó tanár *	
5	Egy melegebb település *	
6	Egy napon helyettesíteni tudó tanárok *	
7	Elég résztvevő a kihívás napján *	
8	Előrejelzések átlaga legnagyobb *	
9	Első útszakasz többszöri felújítással *	
10	Évek mikor több bor készült mint azelött *	
11	Fagyos időszakok száma *	
12	Folyamatos fagy *	
13	Folyamatos meleg az előrejelzésben *	
14	Folyamatosan legmelegebb település *	
15	Gazdaságos-e a vonat üzemeltetése *	
16	Gombaszedés **	
17	Igazságos edző *	
18	Királyok száma kiknek gyermeke nem volt király *	
19	Könyvbírálók **	
20	Könyvmásolatok eredeti szövege **	
21	Könyvmásolatok visszafejtése **	
22	Különböző árú borok száma *	
23	Különböző életkorú dolgozók száma *	
24	Lakások különböző alapterületeinek száma *	
25	Lassú vonatok közt a leggyorsabb *	
26	Legdrágább közeli utazás ára *	
27	Leghosszabb állomásszakasz ahol a vonat nem állt meg *	
28	Leghosszabb bankban tartózkodás *	
29	Leghosszabb egyszínű gyöngyökből álló szakasz **	
30	Leghosszabb emelkedő *	
31	Leghosszabb időintervallumban dobogón elért helyezés *	
32	Leghosszabb időszakban folyamatos meleg *	
33	Leghosszabb intervallum estére romló légszennyeződésre *	
34	Leghosszabb intervallum kevés őrrel a múzeumban *	
35	Leghosszabb intervallumban nem védett falak száma *	
36	Leghosszabb intervallumban nem védett falak száma *	
37	Leghosszabb ismétlődő szakasz **	
38	Leghosszabb uralkodó dinasztia *	
39	Legidősebb végzett hallgatók kora évenként *	
40	Legjobb futóverseny helyezések száma *	
41	Legjobb kilátó *	
42	Legkedvezőbb málnavásárlás **	
43	Legkevesebb idő megállás nélkül *	
44	Legkevesebb lyukasórájú tanár *	
45	Legmesszebb lévő állomások *	
46	Legnagyobb különbség a min es max előrejelzések között *	
47	Legnagyobb tervbe betehető új szoba *	
48	Legolcsóbb drága fenyőfa *	
49	Legrosszabb kettesnél jobb tanuló *	
50	Legtöbb felhasználó a hálózatban *	
51	Legtöbb megfigyelt jármű egy időben *	
52	Legtöbb rendszeridőt használó felhasználó *	
53	Legtöbb tanár által tanított tantárgy *	
54	Legtöbb tipp **	
55	Legtöbb ügyfél a bankban egyszerre *	
56	Legtöbbször ismétlődő szakasz **	
57	Legvölgyesebb sziget *	
58	Nagy mennyiségben készített legdrágább bor *	
59	Növénytáblák száma **	
60	Összekevert sorrend **	
61	Pontozásos verseny végeredménye **	
62	Résztvevők száma kategóriánként a kihíváson *	
63	Séta minél biztonságosabban **	
64	Szigetek benépesítése *	
65	Szólánc **	
66	Teaforgalmazók száma *	
67	Teljes sorozatok a lottón **	
68	Új őrség küldése a Kínai Nagy Falra *	
69	Vitorlás bajnokság végeredménye **	
70	Vitorlás verseny kezdő napja *	
71	Drága beszerzések **	
72	Győztes versenyzők **	
73	Hőségriadó ***	
74	Leghosszabb száraz időszak ***	
75	Legszárazabb időszak **	
76	Legtöbb világcsúcs növekedés **	
77	Legtovább szabad terem ***	
78	Magasugró világcsúcsok folyamatosan ***	
79	Megbízható versenyzők **	
80	Mindenhol pontot szerző versenyzők **	
81	Szabad nap nélküli termek **	
82	Pénzfeldobások ***	
83	Fajok száma ***	
84	Születések ***	
85	Globális felmelegedés	
86	Piac	
