id	feladat	nehezseg
1	Állatkertek *	
2	Alma *	
3	Árvízmentes folyószakaszok átlagos hossza *	
4	Átló *	
5	Azonos csoportok *	
6	Barátok ***	
7	Csoportok *	
8	Duplavermes vasút *	
9	Ekvivalens csoportok *	
10	Étterem **	
11	Fogadás **	
12	Futóverseny *	
13	Halak **	
14	Háromsoros vasút *	
15	Ismételgető *	
16	Játékosok nem szerencsés napjai *	
17	Játékosok unatkozó napjai *	
18	Kiállítás *	
19	Kirándulás az első E helyezettnek *	
20	Kirándulás legfeljebb K versenyzőnek ***	
21	Konténer *	
22	Könyvtári pakolás *	
23	Közös árak **	
24	Közös nyaralás **	
25	Maratoni futóverseny **	
26	Maximális vásárlás **	
27	Mindenhol legolcsóbb áru **	
28	Mindenhol van adás ***	
29	Mondat *	
30	Párosít *	
31	Pártok *	
32	Rádióadók **	
33	Rendszergazda *	
34	Televízióadók *	
35	Utazó *	
36	Valahol olcsóbb áru **	
37	Vásárlás **	
39	Veremsoros vasút *	
40	Vitorlás verseny egy futamán indultak **	
41	Vitorlás verseny minden futamán indultak **	
42	Erőpróba **	
43	Titkos ügynökök **	
44	Mintakeresés ****	
45	Legtöbb közös nyelvet beszélő pár ***	
46	Leíró nyelv **	
47	Vasúti menetrend ***	
48	Ranglista	
49	Tolerancia	
50	Dobozok	
51	Kódok	
52	Megfigyelés	
53	Csak egy bolygón volt élet	
54	Legalább 2 bolygón volt élet	
55	Konténerhelyek	
56	k-homogén sorozat	
57	Kereskedők	
58	Fal	
59	Virágárusok	
60	Állatkereskedők	
61	Legyőzött és legyőző versenyző	
62	Legyőzött és legyőző versenyzők	
63	Nyelvek programozási versenyen	
64	Sorozatok fésűs egyesítésből	
65	Sűrű részsorozat	
66	Zárkód	
67	Ajándék	
68	Időjárási csúcsok	
69	Téglalapok asztalon	
70	Üres téglalap	
71	Autószállítás	
72	Műkincsgyüjtő	
73	Nyaralások	
74	Keresősorozatok	
75	Vizsga	
76	Színhalmazok	
77	Vasúti kocsik mellékvágányokon	
78	Szabadnapok	
79	Vasúti kocsik kitérő vágányon	
