id	feladat	nehezseg
1	Géza csempézik - 2005. május	
2	Átlagsebesség - 2005. május	
3	legporosabb napok - 2005. május	
4	Összetett szavak - 2005. május	
5	Napok sorrendje - 2005. május	
6	Legkisebb terület - 2005. május	
7	Török szultán- 2006. május	
8	Helyes kifejezés- 2006. május	
9	Tőzsdei stabilitás- 2006. május	
10	Zárójelek- 2006. október emelt	
11	FAT fájlrendszer- 2006. október	
12	Érettségi- 2006. október	
13	Másodfokú egyenlet - 2006. február	
14	Lottóhúzás - 2006. február	
15	Fej vagy írás - 2006. január	
16	Kockahajtogatás - 2007. május	
17	Lokális csúcsok - 2007. május	
18	Kockadobás - 2007. május	
19	Inga - 2008. május - emelt	
20	Részvények - 2008. május - emelt	
21	Futóverseny - 2008. május - emelt	
22	Célbadobás - 2008. október - emelt	
23	Madármegfigyelés - 2008. október - emelt	
24	Lotto - 2008. október - emelt	
25	Háromszög szerkeszthetősége	
26	Hangya barangolás	
27	Felesleges szóközök	
28	Bővelkedő számok	
29	Mérések	
30	Az ország karácsonyfája	
31	Ferde hajítás - 2010. október	
32	Traffipax - 2010. október	
33	Kerékpárverseny - 2010. október	
34	Római számok - 2011. május	
35	Tenisz adogatógép - 2011. május	
36	Osztálypénztár - 2011. május	
37	Körlemez - 2011. október	
39	Betűkeverés - 2011. október	
40	Szakaszok - 2012. május	
41	Háromszögek - 2012. október	
42	Körök - 2013. május	
43	Amőba - 2013. október	
44	Torpedó - 2014. május	
45	Gazdaság - 2015. május	
46	Pontok - 2015. október	
47	Szókereső - 2016. május	
48	Bástyák - 2016. október	
49	Txt2Srt - 2017. május	
