id	feladat	nehezseg
1	Körök - 2005. május	
2	Hőingadozás - 2005. május	
3	Tankolás - 2005. október	
4	Szabálysértők - 2005. október	
5	ABC- 2006. május	
6	Tőzsde- 2006. oktober	
7	Armstrong szám- 2006. október	
8	Szavak száma- 2006. október	
9	Óra - 2007. május - közép	
10	Szakkör - 2007. május - közép	
11	Pénzváltó - 2007. október - közép	
12	Autó - 2007. október - közép	
13	Bővelkedő számok	
14	Dolgozat	
15	Számváltó	
16	Palindrom szöveg	
17	Átváltás - 2009. május	
18	Fagy - 2009. május	
19	Számrendszerek - 2009. október	
20	Snowboard verseny - 2009. október	
21	Euklideszi algoritmus - 2010. május	
22	Teljesítőképesség vizsgálat - 2010. május	
23	Barkochba - 2010. október	
24	Tengerparti vízállás - 2010. október	
25	Kettes számrendszer - 2011. május	
26	Csillagvizsgáló - 2011. május	
27	Barátságos számok - 2011. október	
28	Dolgozat - 2011. október	
29	Születésnap paradoxon - 2012. május	
30	Szavazás - 2012. október	
31	Tanulócsoport - 2013. május	
32	Olimpia - 2014. május	
33	Kő-papír-olló - 2014. október	
34	Keszthely Triatlon - 2015. május	
35	Robotvezérlés - 2015. október	
36	Titanic - 2016. május	
37	Számsorozat - 2016. október	
38	Helsinki 1952 - 2017. május	
