id	feladat	nehezseg
1	Automata ***	
2	Autómentés ***	
3	Autóút járdával **	
4	Bábuk ütközése 1 *	
5	Bábuk ütközése 2 *	
6	Bábuk ütközése 3 *	
7	Életjáték *	
8	Hangya az egységkockán ***	
9	Hangya nyolcszögeken ***	
10	Hangya tizenkétszögeken ***	
11	Huszár *	
12	Huszár lépésszám *	
13	Metró *	
14	Metróállomás ***	
15	Őrök *	
16	Pincefúrás *	
17	Vonatok szemben *	
18	Benzinkút ***	
19	Körforgalom	
20	Ügyfélkapu	
21	Várólista	
22	Vonatok	
23	Vonatok 1-2 vágánnyal	
24	Vizitúra	
25	Ütemezés azonos futási idővel	
26	Hegymászó	
27	Ütemezés különböző futási idővel	
