id	feladat	nehezseg
1	Adott századi háborúk	
2	Békés évek *	
3	Békés törzs *	
4	Békés törzsek *	
5	Csak egy ellenfél *	
6	Csak egyszer háborúzó törzs *	
7	Egészében adott századi háborúk száma *	
8	Egy évnél rövidebb *	
9	Egy törzs adott évszázadba eső háborúi összeideje *	
10	Egy törzs adott századi háborúi *	
11	Egy törzs háborúi *	
12	Egy törzs háborús évei egy évszázadban *	
13	Egy törzs leghosszabb békés időszaka *	
14	Egy törzs leghosszabb háborúja *	
15	Egy törzs legrövidebb háborúja *	
16	Egy törzs legrövidebb háborús időszaka *	
17	Első békés év *	
18	Első év, amikor csak egy háború volt *	
19	Gyakori háborúk *	
20	Háború a századfordulón *	
21	Háború együttes ideje adott században *	
22	Háború nélkül *	
23	Háborús évek száma adott században *	
24	Háborúzó törzsek *	
25	Három évszázad háborúi *	
26	Kinek volt több háborúja *	
27	Legellenségeseb törzs *	
28	Legháborgóbb év *	
29	Leghosszab haborus idoszak *	
30	Leghosszabb béke *	
31	Leghosszabb háború *	
32	Legkevésbé ellenséges törzs *	
33	Legkevesebbet háborúzó törzs *	
34	Legnagyobb ellenségek *	
35	Legrövidebb béke *	
36	Legrövidebb háború *	
37	Legrövidebb, 10 évnél hosszabb háború *	
38	Legtöbb ellenfél *	
39	Legtöbb törzs *	
40	Mindenkivel ellenséges törzs *	
41	Nem békés törzsek *	
42	Öt évnél hosszabb *	
43	Részben adott századi háborúk száma *	
44	Több háború *	
45	Több törzs *	
