id	feladat	nehezseg
1	Ameddig gazdaságossá válik *	
2	Ameddig már nem gazdaságos *	
3	Csökkent a vonaton utazók száma *	
4	Csökkent az utasok száma *	
5	Felszállók száma *	
6	Folyamatosan csökent az utasok száma *	
7	Folyamatosan nőtt az utasok száma *	
8	Gazdaságos szomszédos állomáspárok *	
9	Gazdaságos üzemeltetés Budapesttől *	
10	Gazdaságos-e a vonat üzemeltetése *	
11	Legkevesebb ember fordult meg az állomáson *	
12	Legkevesebb felszálló *	
13	Legkevesebb leszálló *	
14	Legkevesebbel csökkent az utasok száma *	
15	Legkevesebbel nőtt az utasok száma a vonaton *	
16	Legmesszebb lévő állomások *	
17	Legmesszebb lévő állomások – maximális létszám *	
18	Legmesszebb lévő állomáspár – folyamatosan voltak a vonaton *	
19	Legtöbb leszálló az állomáson *	
20	Legtöbbel csökkent az utasok száma a vonaton *	
21	Legtöbbel nőtt az utasok száma a vonaton *	
22	Legtöbben szálltak fel *	
23	Legtöbbet nőtt az utasok száma *	
24	Leszállók és felszállók is voltak *	
25	Leszállt-e mindenki *	
26	Meddig gazdaságos, ha lehet veszteséges szakasz *	
27	Mennyit fizettek az utasok? *	
28	Nem volt érdemes megállni *	
29	Nem volt felszálló *	
30	Nem volt leszálló *	
31	Nem volt senki a vonaton *	
32	Nem volt senki a vonaton Budapesttől *	
33	Nem volt utasforgalom *	
34	Nőtt a vonaton utazók száma *	
35	Több leszálló, mint felszálló *	
36	Többen szálltak fel, mint az előző állomáson *	
37	Többen szálltak volna le, mint ahányan voltak *	
38	Utasok száma nem változott *	
39	Vagy csak felszálló vagy csak leszálló *	
40	Vasút *	
41	Veszteséges-e a vonat üzemeltetése *	
42	Vonaton utazók száma minden állomásra *	
