id	feladat	nehezseg
1	Átlagosnál erősebb versenyek	
2	Csak egy versenyen indultak	
3	Egyéni rangsorok	
4	Eredménytelen versenyek	
5	Versenyek győztesei rangsora	
6	Versenyek győztesei	
7	Kieső győztesek	
8	Legalább egy versenyben elérték a minimális pontszámot	
9	Legalább egy versenyben indultak	
10	Legnépesebb versenyek	
11	Legszorosabb versenyek	
12	Legtöbb holtverseny	
13	Legtöbb versenyben győztesek	
14	Mindenhol elérték a minimális pontszámot	
15	Minden versenyen kiestek	
16	Minimális pont alatt nem voltak	
17	Nehéz versenyek	
18	Nem csak összetettben győzött	
19	Sehol sem győztek	
20	Nem induló győztesek	
21	Összetett holtverseny	
22	Versenyben nem értékelhetők	
23	Összetett rangsor	
25	Volt holtverseny	
